order,rung,added,target,target_entry_rung,mixture_auc,best_constituent,best_constituent_auc,mixture_minus_best_constituent_auc
A,1,ukr_rus,covid19_twitter,2,0.973,ukr_rus_twitter,0.973,0.0
A,1,ukr_rus,midterm,3,0.874,ukr_rus_twitter,0.8811,0.0
A,1,ukr_rus,covid_political,4,0.849,ukr_rus_twitter,0.8394,0.0
A,1,ukr_rus,election2020,5,0.828,ukr_rus_twitter,0.8262,0.0
A,1,ukr_rus,ukr_rus_suspended,6,0.771,ukr_rus_twitter,0.7894,0.0
A,1,ukr_rus,twibot20,7,0.921,ukr_rus_twitter,0.9218,0.0
A,1,ukr_rus,cp_hk_twitter,8,0.724,ukr_rus_twitter,0.714,0.0
A,2,covid,midterm,3,0.885,covid19_twitter,0.8842,0.0008000000000000229
A,2,covid,covid_political,4,0.843,covid19_twitter,0.8498,-0.006800000000000028
A,2,covid,election2020,5,0.828,covid19_twitter,0.8345,-0.006500000000000061
A,2,covid,ukr_rus_suspended,6,0.775,ukr_rus_twitter,0.7894,-0.014399999999999968
A,2,covid,twibot20,7,0.925,covid19_twitter,0.9258,-0.0007999999999999119
A,2,covid,cp_hk_twitter,8,0.726,covid19_twitter,0.7196,0.006399999999999961
A,3,midterm,covid_political,4,0.83,covid19_twitter,0.8498,-0.01980000000000004
A,3,midterm,election2020,5,0.815,covid19_twitter,0.8345,-0.019500000000000073
A,3,midterm,ukr_rus_suspended,6,0.777,ukr_rus_twitter,0.7894,-0.012399999999999967
A,3,midterm,twibot20,7,0.927,covid19_twitter,0.9258,0.0012000000000000899
A,3,midterm,cp_hk_twitter,8,0.72,covid19_twitter,0.7196,0.00039999999999995595
A,4,covid_political,election2020,5,0.8297,covid19_twitter,0.8345,-0.0048000000000000265
A,4,covid_political,ukr_rus_suspended,6,0.7768,ukr_rus_twitter,0.7894,-0.012599999999999945
A,4,covid_political,twibot20,7,0.9234,covid19_twitter,0.9258,-0.0023999999999999577
