order,rung,added,n_heldout,mean_mixture_gain_from_rung1,mean_best_constituent_gain_from_rung1,mixture_minus_best_gain
A,1,ukr_rus,7,0.0,0.0,0.0
A,2,covid,6,0.0025000000000000022,0.00523333333333333,-0.002733333333333328
A,3,midterm,5,-0.004800000000000004,0.005659999999999998,-0.010460000000000002
A,4,covid_political,4,0.0023500000000000187,0.004475000000000007,-0.002124999999999988
A,5,election2020,3,0.0015999999999999719,0.0032000000000000175,-0.0016000000000000456
A,6,ukr_rus_suspended,2,0.0015499999999999958,0.0048000000000000265,-0.0032500000000000306
A,7,twibot20,1,0.0027000000000000357,0.005600000000000049,-0.0029000000000000137
B,1,covid,7,0.0,0.0,0.0
B,2,ukr_rus,6,-0.0030000000000000027,0.0005499999999999949,-0.0035499999999999976
B,3,twibot20,5,-0.00458377730842916,0.0006599999999999939,-0.0052437773084291536
B,4,midterm,4,-0.0073297239663153435,0.0008249999999999924,-0.008154723966315336
B,5,ukr_rus_suspended,3,-0.0006633841794381571,0.0,-0.0006633841794381571
B,6,cp_hk,2,-0.005465844604086889,0.0,-0.005465844604086889
B,7,covid_political,1,0.0055826022988506585,0.0,0.0055826022988506585
C,1,election2020,7,0.0,0.0,0.0
C,2,covid_political,6,0.049220544412515964,0.017816666666666665,0.031403877745849296
C,3,cp_hk,5,0.1293789663282248,0.06646,0.06291896632822479
C,4,ukr_rus_suspended,4,0.18656325870051088,0.120225,0.06633825870051088
C,5,midterm,3,0.24006418142294597,0.19026666666666667,0.049797514756279304
C,6,twibot20,2,0.29426904671136633,0.2796,0.014669046711366318
C,7,ukr_rus,1,0.313781610823755,0.31789999999999996,-0.004118389176244963
