order,rung,target,target_entry_rung,sources,mixture_auc,mixture_value_origin,best_constituent,best_constituent_auc,mixture_minus_best
A,1,ukr_rus_twitter,2,covid,0.9264,single_source_reconstruction,covid19_twitter,0.9264,0.0
A,1,midterm,3,covid,0.8842,single_source_reconstruction,covid19_twitter,0.8842,0.0
A,2,midterm,3,covid ukr_rus,0.885,observed_same_source_set,covid19_twitter,0.8842,0.0008000000000000229
A,1,covid_political,4,covid,0.8498,single_source_reconstruction,covid19_twitter,0.8498,0.0
A,2,covid_political,4,covid ukr_rus,0.843,observed_same_source_set,covid19_twitter,0.8498,-0.006800000000000028
A,3,covid_political,4,covid ukr_rus midterm,0.83,observed_same_source_set,covid19_twitter,0.8498,-0.01980000000000004
A,1,election2020,5,covid,0.8345,single_source_reconstruction,covid19_twitter,0.8345,0.0
A,2,election2020,5,covid ukr_rus,0.828,observed_same_source_set,covid19_twitter,0.8345,-0.006500000000000061
A,3,election2020,5,covid ukr_rus midterm,0.815,observed_same_source_set,covid19_twitter,0.8345,-0.019500000000000073
A,4,election2020,5,covid ukr_rus midterm covid_political,0.8297,observed_same_source_set,covid19_twitter,0.8345,-0.0048000000000000265
A,1,ukr_rus_suspended,6,covid,0.7861,single_source_reconstruction,covid19_twitter,0.7861,0.0
A,2,ukr_rus_suspended,6,covid ukr_rus,0.775,observed_same_source_set,ukr_rus_twitter,0.7894,-0.014399999999999968
A,3,ukr_rus_suspended,6,covid ukr_rus midterm,0.777,observed_same_source_set,ukr_rus_twitter,0.7894,-0.012399999999999967
A,4,ukr_rus_suspended,6,covid ukr_rus midterm covid_political,0.7768,observed_same_source_set,ukr_rus_twitter,0.7894,-0.012599999999999945
A,5,ukr_rus_suspended,6,covid ukr_rus midterm covid_political election2020,0.7693,observed_same_source_set,ukr_rus_twitter,0.7894,-0.020100000000000007
A,1,twibot20,7,covid,0.9258,single_source_reconstruction,covid19_twitter,0.9258,0.0
A,2,twibot20,7,covid ukr_rus,0.925,observed_same_source_set,covid19_twitter,0.9258,-0.0007999999999999119
A,3,twibot20,7,covid ukr_rus midterm,0.927,observed_same_source_set,covid19_twitter,0.9258,0.0012000000000000899
A,4,twibot20,7,covid ukr_rus midterm covid_political,0.9234,observed_same_source_set,covid19_twitter,0.9258,-0.0023999999999999577
A,5,twibot20,7,covid ukr_rus midterm covid_political election2020,0.9254,observed_same_source_set,covid19_twitter,0.9258,-0.00039999999999995595
A,6,twibot20,7,covid ukr_rus midterm covid_political election2020 ukr_rus_suspended,0.9242,observed_same_source_set,covid19_twitter,0.9258,-0.0015999999999999348
A,1,cp_hk_twitter,8,covid,0.7196,single_source_reconstruction,covid19_twitter,0.7196,0.0
