order,rung,added,n_non_identity_targets,mean_mixture_minus_best_constituent_auc
A,1,ukr_rus,7,0.0
A,2,covid,6,-0.0035499999999999976
A,3,midterm,5,-0.010020000000000006
A,4,covid_political,4,-0.0039749999999999786
A,5,election2020,3,-0.0046666666666666705
A,6,ukr_rus_suspended,2,0.0013500000000000179
A,7,twibot20,1,0.007099999999999995
B,1,covid,7,0.0
B,2,ukr_rus,6,-0.0035499999999999976
B,3,twibot20,5,-0.0052437773084291536
B,4,midterm,4,-0.008154723966315336
B,5,ukr_rus_suspended,3,-0.0006633841794381571
B,6,cp_hk,2,-0.005465844604086889
B,7,covid_political,1,0.0055826022988506585
C,1,election2020,7,0.0
C,2,covid_political,6,0.031403877745849296
C,3,cp_hk,5,0.06291896632822477
C,4,ukr_rus_suspended,4,0.06633825870051088
C,5,midterm,3,0.049797514756279325
C,6,twibot20,2,0.014669046711366318
C,7,ukr_rus,1,-0.004118389176244963
