baseline,dataset,selected_lr,selected_val_roc_auc,roc_auc,accuracy,f1
supervised_mlp,covid_political,0.001,0.9354926215277777,0.9117233841507523,0.857421875,0.737410071942446
supervised_mlp,election2020,0.001,0.9384765625,0.9188232421875,0.85546875,0.8502024291497976
supervised_mlp,ukr_rus_suspended,0.001,0.609375,0.612548828125,0.5859375,0.636986301369863
supervised_mlp,twibot20,0.001,0.7394951714409723,0.7188114590115016,0.6575520833333334,0.6441136671177267
supervised_graphsage,covid_political,0.0003,0.9729365596064815,0.955598619249132,0.9153645833333334,0.8399014778325123
supervised_graphsage,election2020,0.0003,0.9365234375,0.98846435546875,0.9609375,0.9606299212598425
supervised_graphsage,ukr_rus_suspended,0.001,0.6162109375,0.59710693359375,0.5703125,0.56
supervised_graphsage,twibot20,0.001,0.8305155436197916,0.795477549235026,0.7076822916666666,0.690771349862259
