baseline,model_id,sources,seed,training_updates,feature_view,feature_names,topology_scope,topology_used,raw_features_used,support_fit,task,dataset,n_way,n_shot,n_query,episodes,queries,episode_fingerprint,roc_auc,accuracy,f1
topology_degree_prototype,topology_degree_prototype,,0,0,full_graph_directed_log_degree3_zscore,"log1p_in_degree,log1p_out_degree,log1p_total_degree",entire_loaded_target_graph,True,False,none,classification,covid_political,2,10,12,128,3072,db497c203ef6c4249fb91b34083c59d3c400dc84b821c0835e3d5426fbbe2750,0.6047007242838542,0.6031901041666666,0.40911294231701406
topology_degree_prototype,topology_degree_prototype,,0,0,full_graph_directed_log_degree3_zscore,"log1p_in_degree,log1p_out_degree,log1p_total_degree",entire_loaded_target_graph,True,False,none,classification,election2020,2,10,1,128,256,4b5288ebc0896afebadb04ad14ebc9ec53fb1a88beeae490bd1d31ace91f14ef,0.50341796875,0.48046875,0.45267489711934156
topology_degree_prototype,topology_degree_prototype,,0,0,full_graph_directed_log_degree3_zscore,"log1p_in_degree,log1p_out_degree,log1p_total_degree",entire_loaded_target_graph,True,False,none,classification,ukr_rus_suspended,2,10,1,128,256,c4b969d4c4f558104e8052335698b2ea62a3f94fa5af7e021a7bf0d46e2e3347,0.53912353515625,0.53515625,0.5258964143426295
topology_degree_prototype,topology_degree_prototype,,0,0,full_graph_directed_log_degree3_zscore,"log1p_in_degree,log1p_out_degree,log1p_total_degree",entire_loaded_target_graph,True,False,none,classification,twibot20,2,10,12,128,3072,c52eedbda4ef0539387be507588f0477560fc57987270d62405daeda5fe6d92d,0.6668529510498046,0.6324869791666666,0.6277612924497198
topology_degree_logistic,topology_degree_logistic,,0,0,full_graph_directed_log_degree3_zscore,"log1p_in_degree,log1p_out_degree,log1p_total_degree",entire_loaded_target_graph,True,False,logistic_c1,classification,covid_political,2,10,12,128,3072,db497c203ef6c4249fb91b34083c59d3c400dc84b821c0835e3d5426fbbe2750,0.5985746030454283,0.6002604166666666,0.39387956564659427
topology_degree_logistic,topology_degree_logistic,,0,0,full_graph_directed_log_degree3_zscore,"log1p_in_degree,log1p_out_degree,log1p_total_degree",entire_loaded_target_graph,True,False,logistic_c1,classification,election2020,2,10,1,128,256,4b5288ebc0896afebadb04ad14ebc9ec53fb1a88beeae490bd1d31ace91f14ef,0.5274658203125,0.5390625,0.49572649572649574
topology_degree_logistic,topology_degree_logistic,,0,0,full_graph_directed_log_degree3_zscore,"log1p_in_degree,log1p_out_degree,log1p_total_degree",entire_loaded_target_graph,True,False,logistic_c1,classification,ukr_rus_suspended,2,10,1,128,256,c4b969d4c4f558104e8052335698b2ea62a3f94fa5af7e021a7bf0d46e2e3347,0.52471923828125,0.53515625,0.5475285171102662
topology_degree_logistic,topology_degree_logistic,,0,0,full_graph_directed_log_degree3_zscore,"log1p_in_degree,log1p_out_degree,log1p_total_degree",entire_loaded_target_graph,True,False,logistic_c1,classification,twibot20,2,10,12,128,3072,c52eedbda4ef0539387be507588f0477560fc57987270d62405daeda5fe6d92d,0.7147663964165583,0.666015625,0.6852760736196319
