source,target,auc,bce,average_precision,checkpoint_step
ukr_rus_twitter,ukr_rus_twitter,0.6009785714285715,1.3235115768468924,0.5567493875740694,66000
ukr_rus_twitter,covid19_twitter,0.6754744897959184,0.7198771963136531,0.6289973314604386,66000
ukr_rus_twitter,midterm,0.6166632653061225,0.8463495940065257,0.5679604317857149,66000
ukr_rus_twitter,covid_political,0.5647229591836734,0.9368316570595172,0.5514474651799497,66000
ukr_rus_twitter,election2020,0.5485510204081633,0.9046661372717307,0.5501925311633324,66000
ukr_rus_twitter,ukr_rus_suspended,0.681170918367347,0.7511093290164953,0.6717160147608829,66000
ukr_rus_twitter,twibot20,0.6035545918367347,0.7768233604808227,0.5882954067720657,66000
ukr_rus_twitter,cp_hk_twitter,0.5618107142857143,0.7354913495893691,0.5444153452025309,66000
ukr_rus_twitter,facebook_page_reference,0.7179959183673469,0.6596474902927082,0.703683353072581,66000
covid19_twitter,ukr_rus_twitter,0.6053298469387755,0.8588227607109467,0.5683901796815054,56000
covid19_twitter,covid19_twitter,0.7222655612244898,0.9448230332237927,0.6466041772276787,56000
covid19_twitter,midterm,0.6324076530612246,0.8698716437157379,0.5751783565468034,56000
covid19_twitter,covid_political,0.5626494897959183,1.4457123061582835,0.5440065640155123,56000
covid19_twitter,election2020,0.565015306122449,1.1644631456859245,0.5506378102265002,56000
covid19_twitter,ukr_rus_suspended,0.6536744897959184,0.710710950313346,0.6424795870372143,56000
covid19_twitter,twibot20,0.6336061224489796,0.9469636103527148,0.6082278078201467,56000
covid19_twitter,cp_hk_twitter,0.5901352040816327,0.937375051381037,0.549975349519993,56000
covid19_twitter,facebook_page_reference,0.7338948979591836,0.6447749890688933,0.7304065880335671,56000
midterm,ukr_rus_twitter,0.5698290816326531,0.7083569305464282,0.5623001534740368,58000
midterm,covid19_twitter,0.643184693877551,0.695044167298687,0.6179310362420688,58000
midterm,midterm,0.7235071428571429,1.5913661941334638,0.6392327804956222,58000
