arm,training_seed,checkpoint_step,dataset,auc,accuracy,f1,episode_fingerprint
close_only,0,100,covid_political,0.5311793574580439,0.5172526041666666,0.35828645607961923,db497c203ef6c4249fb91b34083c59d3c400dc84b821c0835e3d5426fbbe2750
close_only,0,100,election2020,0.5059814453125,0.49609375,0.47346938775510206,4b5288ebc0896afebadb04ad14ebc9ec53fb1a88beeae490bd1d31ace91f14ef
close_only,0,100,facebook_page_reference,0.5110015869140625,0.5087890625,0.5303454715219421,df2330ab1920415c5c98c8ec00ef3e640a961ff90514a04bf5074d09529a0afe
close_only,0,100,twibot20,0.6248821682400173,0.5699869791666666,0.692862125087189,c52eedbda4ef0539387be507588f0477560fc57987270d62405daeda5fe6d92d
close_only,0,100,ukr_rus_suspended,0.48431396484375,0.49609375,0.5057471264367817,c4b969d4c4f558104e8052335698b2ea62a3f94fa5af7e021a7bf0d46e2e3347
close_only,0,300,covid_political,0.5883438675491899,0.4391276041666667,0.4145429833503228,db497c203ef6c4249fb91b34083c59d3c400dc84b821c0835e3d5426fbbe2750
close_only,0,300,election2020,0.489501953125,0.515625,0.5474452554744526,4b5288ebc0896afebadb04ad14ebc9ec53fb1a88beeae490bd1d31ace91f14ef
close_only,0,300,facebook_page_reference,0.564910888671875,0.54296875,0.5411764705882353,df2330ab1920415c5c98c8ec00ef3e640a961ff90514a04bf5074d09529a0afe
close_only,0,300,twibot20,0.5411315494113498,0.5319010416666666,0.5668674698795181,c52eedbda4ef0539387be507588f0477560fc57987270d62405daeda5fe6d92d
close_only,0,300,ukr_rus_suspended,0.52801513671875,0.53515625,0.5543071161048689,c4b969d4c4f558104e8052335698b2ea62a3f94fa5af7e021a7bf0d46e2e3347
close_only,0,900,covid_political,0.7438365794994213,0.4466145833333333,0.44733420026007803,db497c203ef6c4249fb91b34083c59d3c400dc84b821c0835e3d5426fbbe2750
close_only,0,900,election2020,0.7711181640625,0.55859375,0.6904109589041096,4b5288ebc0896afebadb04ad14ebc9ec53fb1a88beeae490bd1d31ace91f14ef
close_only,0,900,facebook_page_reference,0.6666755676269531,0.6162109375,0.6002034587995931,df2330ab1920415c5c98c8ec00ef3e640a961ff90514a04bf5074d09529a0afe
close_only,0,900,twibot20,0.6048511928982205,0.5856119791666666,0.580283547642598,c52eedbda4ef0539387be507588f0477560fc57987270d62405daeda5fe6d92d
close_only,0,900,ukr_rus_suspended,0.50262451171875,0.51953125,0.5214007782101168,c4b969d4c4f558104e8052335698b2ea62a3f94fa5af7e021a7bf0d46e2e3347
close_only,0,2500,covid_political,0.9197786119249133,0.8834635416666666,0.7891637220259128,db497c203ef6c4249fb91b34083c59d3c400dc84b821c0835e3d5426fbbe2750
close_only,0,2500,election2020,0.98931884765625,0.984375,0.9846153846153847,4b5288ebc0896afebadb04ad14ebc9ec53fb1a88beeae490bd1d31ace91f14ef
