arm,training_seed,panel,auc
close_only,0,all_macro,0.8424903049277118
close_only,1,all_macro,0.8395168527500898
close_only,2,all_macro,0.8378617604548312
global,0,all_macro,0.8505225482736171
global,1,all_macro,0.8502760238932292
global,2,all_macro,0.8531648706963901
radius_mix,0,all_macro,0.8477463884788075
radius_mix,1,all_macro,0.8488097416060525
radius_mix,2,all_macro,0.8475314594984734
close_only,0,global,0.9468898875089798
close_only,1,global,0.9417147383351292
close_only,2,global,0.9386058323994252
global,0,global,0.9752116468839798
global,1,global,0.9748848074263652
global,2,global,0.976081555226293
radius_mix,0,global,0.9656222928340518
radius_mix,1,global,0.967667637975934
radius_mix,2,global,0.9670461506465516
close_only,0,macro,0.837917489550407
close_only,1,macro,0.835342596773228
close_only,2,macro,0.8326668972521553
global,0,macro,0.8464473289331896
global,1,macro,0.8456381945372367
global,2,macro,0.8493575140624999
radius_mix,0,macro,0.8437503756585248
radius_mix,1,macro,0.8451158745390327
radius_mix,2,macro,0.8437471823275863
close_only,0,radius2,0.7777908550197558
close_only,1,radius2,0.776963447422773
close_only,2,radius2,0.7734517888829023
global,0,radius2,0.7780664497216236
global,1,radius2,0.7755244706357758
global,2,radius2,0.7796468335668104
radius_mix,0,radius2,0.7777443415229885
radius_mix,1,radius2,0.7789617227101294
radius_mix,2,radius2,0.7761448198455462
close_only,0,radius3,0.7890717261224854
close_only,1,radius3,0.7873496045617815
close_only,2,radius3,0.785943070474138
global,0,radius3,0.7860638901939655
global,1,radius3,0.7865053055495689
global,2,radius3,0.7923441533943965
radius_mix,0,radius3,0.7878844926185343
radius_mix,1,radius3,0.7887182629310345
radius_mix,2,radius3,0.788050576490661
close_only,0,within_source,0.8562087510596263
close_only,1,within_source,0.8520396206806755
close_only,2,within_source,0.8534463500628591
global,0,within_source,0.8627482062948995
global,1,within_source,0.8641895119612069
global,2,within_source,0.8645869405980604
radius_mix,0,within_source,0.8597344269396553
radius_mix,1,within_source,0.8598913428071121
radius_mix,2,within_source,0.858884291011135
