arm,task,target,step0,step100,step500,step40000,best,best_step,plateau_spread_500_40000,gain_fraction_by_500
all8,classification,,0.48316257638888893,0.5761075625000001,0.7604276215277778,0.7509620138888888,0.7636704062499999,1000,0.012708392361111098,0.9827109428637986
all8,regression,account_age_days,0.02905868798736805,0.02080682327627423,0.042669354164066677,0.07018001660731754,0.07018001660731754,40000,0.027510662443250865,0.4428016381522241
all8,regression,followers_count,0.22428118031827446,0.17791352618655037,0.13942253158735593,0.17199452797456793,0.22428118031827446,0,0.032571996387212004,-0.8301259858833242
covid,classification,,0.48316257638888893,0.5989608229166667,0.7552358368055556,0.7572856909722222,0.7614582673611111,2000,0.0062224305555554915,0.9617075174515569
covid,regression,account_age_days,0.02905868798736805,0.022650008518481222,0.06528338222995675,0.07676077050860244,0.07676077050860244,40000,0.01846272547897279,0.7878908398898342
covid,regression,followers_count,0.22428118031827446,0.20264752013580672,0.1465994152159649,0.1643633848893125,0.22428118031827446,0,0.017763969673347618,-2.5907823478370116
ukr,classification,,0.48316257638888893,0.5777743958333333,0.7430211597222223,0.7530225208333333,0.7566496736111111,10000,0.01362851388888886,0.9238099638015937
ukr,regression,account_age_days,0.02905868798736805,0.02594314853985055,0.0763302563751853,0.07622324039849365,0.07689782423789833,10000,0.011403083000929695,0.9888613193011692
ukr,regression,followers_count,0.22428118031827446,0.1927565563783655,0.16065912830352266,0.14733669242247494,0.22428118031827446,0,0.024551014245205616,-1.01817005449536
