arm,source,checkpoint_role,additional_step,logical_step,checkpoint,validation_auc_pct,validation_auc_minus_singleton_pp,validation_bce,hard_label_training_probe_bce,singleton_reference_step,singleton_reference_auc_pct,supervised_updates,kd_updates,positive_examples,negative_examples,supervised_positive_examples,supervised_negative_examples,kd_positive_examples,kd_negative_examples
kd_extended,ukr_rus_twitter,logged checkpoint,0,40000,/dataMeR1/phil/gfm/mixture-scaling/state/async_extension_s0/node_neighbors/lp/kd_extended/checkpoints/additional_000000.pt,98.74585928916932,-0.2285172462463403,0.08812026716768742,0.08655679523944854,44000,98.97437653541566,20000,0,20470890,102354450,20470890,102354450,0,0
kd_extended,facebook_page_reference,logged checkpoint,0,40000,/dataMeR1/phil/gfm/mixture-scaling/state/async_extension_s0/node_neighbors/lp/kd_extended/checkpoints/additional_000000.pt,96.10667834281921,0.7221450328826928,0.1697579078376293,0.12690456099808214,6000,95.38453330993651,5000,15000,20275950,101379750,5069279,25346395,15206671,76033355
kd_extended,ukr_rus_twitter,logged checkpoint,2000,42000,/dataMeR1/phil/gfm/mixture-scaling/state/async_extension_s0/node_neighbors/lp/kd_extended/checkpoints/additional_002000.pt,98.71516153812408,-0.25921499729156805,0.08722816035151483,0.08534385785460473,44000,98.97437653541566,21000,0,21494890,107474450,21494890,107474450,0,0
kd_extended,facebook_page_reference,logged checkpoint,2000,42000,/dataMeR1/phil/gfm/mixture-scaling/state/async_extension_s0/node_neighbors/lp/kd_extended/checkpoints/additional_002000.pt,96.06461567878722,0.6800823688507096,0.17039333730936052,0.12696283943951128,6000,95.38453330993651,5000,16000,21289456,106447280,5069279,25346395,16220177,81100885
kd_extended,ukr_rus_twitter,logged checkpoint,4000,44000,/dataMeR1/phil/gfm/mixture-scaling/state/async_extension_s0/node_neighbors/lp/kd_extended/checkpoints/additional_004000.pt,98.680855512619,-0.29352102279665004,0.08743565678596496,0.08526151105761529,44000,98.97437653541566,22000,0,22517979,112589895,22517979,112589895,0,0
kd_extended,facebook_page_reference,logged checkpoint,4000,44000,/dataMeR1/phil/gfm/mixture-scaling/state/async_extension_s0/node_neighbors/lp/kd_extended/checkpoints/additional_004000.pt,96.03158423900604,0.6470509290695259,0.17131436467170716,0.12586290799081323,6000,95.38453330993651,5000,17000,22303545,111517725,5069279,25346395,17234266,86171330
kd_extended,ukr_rus_twitter,logged checkpoint,6000,46000,/dataMeR1/phil/gfm/mixture-scaling/state/async_extension_s0/node_neighbors/lp/kd_extended/checkpoints/additional_006000.pt,98.72857553958892,-0.2458009958267393,0.08637802973389624,0.08410128131508826,44000,98.97437653541566,23000,0,23541979,117709895,23541979,117709895,0,0
kd_extended,facebook_page_reference,logged checkpoint,6000,46000,/dataMeR1/phil/gfm/mixture-scaling/state/async_extension_s0/node_neighbors/lp/kd_extended/checkpoints/additional_006000.pt,96.04430227279663,0.6597689628601189,0.17026394531130787,0.12660057954490186,6000,95.38453330993651,5000,18000,23317051,116585255,5069279,25346395,18247772,91238860
kd_extended,ukr_rus_twitter,logged checkpoint,8000,48000,/dataMeR1/phil/gfm/mixture-scaling/state/async_extension_s0/node_neighbors/lp/kd_extended/checkpoints/additional_008000.pt,98.76130053997039,-0.21307599544525546,0.08669147640466691,0.08498858585953713,44000,98.97437653541566,24000,0,24565068,122825340,24565068,122825340,0,0
kd_extended,facebook_page_reference,logged checkpoint,8000,48000,/dataMeR1/phil/gfm/mixture-scaling/state/async_extension_s0/node_neighbors/lp/kd_extended/checkpoints/additional_008000.pt,96.08648328781128,0.7019499778747607,0.16996425688266756,0.12684874087572098,6000,95.38453330993651,5000,19000,24330557,121652785,5069279,25346395,19261278,96306390
