arm,logged_checkpoints,both_preserved_checkpoints,maximum_ukraine_delta_pp,maximum_facebook_delta_pp
kd_extended,31,0,-0.10846800804137358,0.7370806932449292
ukraine_only,31,0,0.08726513385772794,0.7221450328826928
