arm,target,checkpoint_step,roc_auc,bce,average_precision
kd_fixed,ukr_rus_twitter,100000,0.9902743877551021,0.07837170451926465,0.971898679884387
kd_fixed,covid19_twitter,100000,0.9630027551020409,0.18835174405055088,0.9003890618294265
kd_fixed,midterm,100000,0.9434710714285715,0.24922107573989413,0.7969210355493928
kd_fixed,covid_political,100000,0.9634070408163264,0.17097352352286227,0.8856934875960909
kd_fixed,ukr_rus_suspended,100000,0.9484816326530613,0.1995968497222156,0.8539398384037347
kd_fixed,twibot20,100000,0.9457586734693877,0.20729907347616444,0.8235153587818648
kd_fixed,cp_hk_twitter,100000,0.9678409183673471,0.17053179663702853,0.8993643645434204
kd_fixed,facebook_page_reference,100000,0.9553891836734694,0.17952874899287863,0.8710020626158841
ukraine_exposure,ukr_rus_twitter,70000,0.991481530612245,0.07374120757116358,0.9735479672186638
ukraine_exposure,covid19_twitter,70000,0.9651487755102041,0.1900159121182304,0.9055014973312759
ukraine_exposure,midterm,70000,0.9449857142857144,0.2634077210116097,0.7947492480530898
ukraine_exposure,covid_political,70000,0.9634247959183674,0.17729568270901808,0.889278872668997
ukraine_exposure,ukr_rus_suspended,70000,0.9514293877551022,0.20067911111852765,0.863799630237794
ukraine_exposure,twibot20,70000,0.944102142857143,0.21403650580731576,0.824452334860991
ukraine_exposure,cp_hk_twitter,70000,0.9674404081632655,0.17233624960655353,0.8962826844327951
ukraine_exposure,facebook_page_reference,70000,0.9229510204081633,0.3072344008142229,0.7880793921226056
ukraine_updates,ukr_rus_twitter,100000,0.9920829591836734,0.06929359477969556,0.9757861815977774
ukraine_updates,covid19_twitter,100000,0.9659787755102042,0.18119763086607896,0.9021321490426957
ukraine_updates,midterm,100000,0.9505991836734694,0.24394832359179722,0.8220524989983816
ukraine_updates,covid_political,100000,0.9568092857142857,0.19922062234130655,0.87265159854901
ukraine_updates,ukr_rus_suspended,100000,0.9514707142857142,0.2018671638192254,0.8630172020963627
ukraine_updates,twibot20,100000,0.9444107653061224,0.21520011341081718,0.8165900209897534
ukraine_updates,cp_hk_twitter,100000,0.9686369897959184,0.16449185827415216,0.896232786939208
ukraine_updates,facebook_page_reference,100000,0.9159521428571429,0.31075293401131365,0.7712868635371107
kd_extended_selected,ukr_rus_twitter,92000,0.9905686734693878,0.07631296472472313,0.972290575903293
kd_extended_selected,covid19_twitter,92000,0.965492142857143,0.16467850887478666,0.9065076578752815
kd_extended_selected,midterm,92000,0.9455559693877551,0.23742564496714458,0.8019676347172305
kd_extended_selected,covid_political,92000,0.9653297959183673,0.1636575206083683,0.8875942239326883
kd_extended_selected,ukr_rus_suspended,92000,0.9497354081632654,0.20004363952907817,0.8555868771833696
kd_extended_selected,twibot20,92000,0.9464910204081634,0.21747038449112902,0.8257958013119779
kd_extended_selected,cp_hk_twitter,92000,0.9699509693877549,0.1590346103241503,0.9057054973002128
kd_extended_selected,facebook_page_reference,92000,0.9566794897959183,0.17654961522384227,0.8748064696714175
ukraine_only_selected,ukr_rus_twitter,42000,0.9898797959183674,0.07847880408809191,0.9704900086915222
ukraine_only_selected,covid19_twitter,42000,0.966441224489796,0.16350629115273305,0.9096240081494881
ukraine_only_selected,midterm,42000,0.9445966326530614,0.24257654547590862,0.7942823384050797
ukraine_only_selected,covid_political,42000,0.9638022448979593,0.16611601690277839,0.8867399334150565
ukraine_only_selected,ukr_rus_suspended,42000,0.9506526530612244,0.2004322150337585,0.8545758214534349
ukraine_only_selected,twibot20,42000,0.9444203061224489,0.2237069826101047,0.821455477023296
ukraine_only_selected,cp_hk_twitter,42000,0.9716246938775509,0.1498118104629539,0.9155421952806088
ukraine_only_selected,facebook_page_reference,42000,0.9502701020408163,0.21963803343278057,0.8599147056163192
