dataset,target,spearman,spearman_fulldata,shots,n,seed
ukr_rus_suspended,followers_count,0.17402363214179875,nan,10,56440,448
ukr_rus_suspended,statuses_count,0.05650803243706157,nan,10,56440,448
ukr_rus_suspended,account_age_days,0.016477286369756487,nan,10,56440,448
twibot20,followers_count,0.160528019314033,nan,10,162988,448
twibot20,statuses_count,0.11853793191563555,nan,10,162988,448
twibot20,account_age_days,0.04700343242240802,nan,10,162988,448
