source,model,provenance,checkpoint_step,checkpoint
ukr_rus_twitter,nm_ss_ukr_rus_twitter,original NM matrix,40000,/dataMeR1/phil/gfm/prodigy/state/nm_ss_ukr_rus_twitter_13_07_2026_20_03_37/checkpoint/state_dict_40000.ckpt
covid19_twitter,nm_ss_covid19_twitter,original NM matrix,40000,/dataMeR1/phil/gfm/prodigy/state/nm_ss_covid19_twitter_13_07_2026_20_03_37/checkpoint/state_dict_40000.ckpt
midterm,nm_ss_midterm,original NM matrix,40000,/dataMeR1/phil/gfm/prodigy/state/nm_ss_midterm_13_07_2026_20_03_37/checkpoint/state_dict_40000.ckpt
covid_political,nm_ss_covid_political,original NM matrix,40000,/dataMeR1/phil/gfm/prodigy/state/nm_ss_covid_political_13_07_2026_20_03_37/checkpoint/state_dict_40000.ckpt
election2020,nm_ss_election2020,original NM matrix,40000,/dataMeR1/phil/gfm/prodigy/state/nm_ss_election2020_13_07_2026_21_41_40/checkpoint/state_dict_40000.ckpt
ukr_rus_suspended,nm_ss_ukr_rus_suspended,original NM matrix,40000,/dataMeR1/phil/gfm/prodigy/state/nm_ss_ukr_rus_suspended_13_07_2026_21_40_29/checkpoint/state_dict_40000.ckpt
twibot20,nm_ss_twibot20,original NM matrix,40000,/dataMeR1/phil/gfm/prodigy/state/nm_ss_twibot20_13_07_2026_21_22_45/checkpoint/state_dict_40000.ckpt
cp_hk_twitter,nm_ss_cp_hk_twitter,original NM matrix,40000,/dataMeR1/phil/gfm/prodigy/state/nm_ss_cp_hk_twitter_13_07_2026_21_38_47/checkpoint/state_dict_40000.ckpt
