dataset,target,spearman,spearman_fulldata,shots,n,seed
ukr_rus_suspended,followers_count,0.1695408091648488,nan,10,56440,450
ukr_rus_suspended,statuses_count,0.05186661763780353,nan,10,56440,450
ukr_rus_suspended,account_age_days,0.02488794619823466,nan,10,56440,450
twibot20,followers_count,0.16342567531450963,nan,10,162988,450
twibot20,statuses_count,0.10481596197271469,nan,10,162988,450
twibot20,account_age_days,0.03897670494251015,nan,10,162988,450
