source,model,task,dataset,target,metric,value,shots,run
ukr_rus_twitter,nm_ss_ukr_rus_twitter,classification,covid_political,,roc_auc,0.904609,10,eval_nm_ss_ukr_rus_twitter_to_covid_political_pl_10shot_30_07_2026_02_37_32
ukr_rus_twitter,nm_ss_ukr_rus_twitter,classification,election2020,,roc_auc,0.984552,10,eval_nm_ss_ukr_rus_twitter_to_election2020_pl_10shot_30_07_2026_02_37_56
ukr_rus_twitter,nm_ss_ukr_rus_twitter,classification,twibot20,,roc_auc,0.630633625,10,eval_nm_ss_ukr_rus_twitter_to_twibot20_pl_10shot_30_07_2026_02_38_47
ukr_rus_twitter,nm_ss_ukr_rus_twitter,classification,ukr_rus_suspended,,roc_auc,0.49788200000000005,10,eval_nm_ss_ukr_rus_twitter_to_ukr_rus_suspended_pl_10shot_30_07_2026_02_38_22
ukr_rus_twitter,nm_ss_ukr_rus_twitter,regression,covid19_twitter,account_age_days,spearman,-0.10518018824475747,10,eval_nm_ss_ukr_rus_twitter_to_covid19_twitter_reg_10shot_account_age_days_30_07_2026_02_13_45
ukr_rus_twitter,nm_ss_ukr_rus_twitter,regression,covid19_twitter,followers_count,spearman,0.05828387934910242,10,eval_nm_ss_ukr_rus_twitter_to_covid19_twitter_reg_10shot_followers_count_30_07_2026_02_13_09
ukr_rus_twitter,nm_ss_ukr_rus_twitter,regression,covid19_twitter,statuses_count,spearman,0.08845343219788826,10,eval_nm_ss_ukr_rus_twitter_to_covid19_twitter_reg_10shot_statuses_count_30_07_2026_02_13_12
ukr_rus_twitter,nm_ss_ukr_rus_twitter,regression,midterm,account_age_days,spearman,-0.16334788948902917,10,eval_nm_ss_ukr_rus_twitter_to_midterm_reg_10shot_account_age_days_30_07_2026_02_33_46
ukr_rus_twitter,nm_ss_ukr_rus_twitter,regression,midterm,followers_count,spearman,0.022499593523606882,10,eval_nm_ss_ukr_rus_twitter_to_midterm_reg_10shot_followers_count_30_07_2026_02_33_43
ukr_rus_twitter,nm_ss_ukr_rus_twitter,regression,midterm,statuses_count,spearman,0.01031111240228648,10,eval_nm_ss_ukr_rus_twitter_to_midterm_reg_10shot_statuses_count_30_07_2026_02_33_43
ukr_rus_twitter,nm_ss_ukr_rus_twitter,regression,twibot20,account_age_days,spearman,-0.06227788744346688,10,eval_nm_ss_ukr_rus_twitter_to_twibot20_reg_10shot_account_age_days_30_07_2026_02_35_38
ukr_rus_twitter,nm_ss_ukr_rus_twitter,regression,twibot20,followers_count,spearman,0.10868724243320928,10,eval_nm_ss_ukr_rus_twitter_to_twibot20_reg_10shot_followers_count_30_07_2026_02_35_38
ukr_rus_twitter,nm_ss_ukr_rus_twitter,regression,twibot20,statuses_count,spearman,0.11505048557890776,10,eval_nm_ss_ukr_rus_twitter_to_twibot20_reg_10shot_statuses_count_30_07_2026_02_35_37
ukr_rus_twitter,nm_ss_ukr_rus_twitter,regression,ukr_rus_twitter,account_age_days,spearman,-0.10691312216765862,10,eval_nm_ss_ukr_rus_twitter_to_ukr_rus_twitter_reg_10shot_account_age_days_30_07_2026_02_03_23
ukr_rus_twitter,nm_ss_ukr_rus_twitter,regression,ukr_rus_twitter,followers_count,spearman,0.009002498521980753,10,eval_nm_ss_ukr_rus_twitter_to_ukr_rus_twitter_reg_10shot_followers_count_30_07_2026_02_03_23
ukr_rus_twitter,nm_ss_ukr_rus_twitter,regression,ukr_rus_twitter,statuses_count,spearman,0.044921040312913114,10,eval_nm_ss_ukr_rus_twitter_to_ukr_rus_twitter_reg_10shot_statuses_count_30_07_2026_02_03_23
covid19_twitter,nm_ss_covid19_twitter,classification,covid_political,,roc_auc,0.9074704027777778,10,eval_nm_ss_covid19_twitter_to_covid_political_pl_10shot_30_07_2026_02_37_32
covid19_twitter,nm_ss_covid19_twitter,classification,election2020,,roc_auc,0.982676,10,eval_nm_ss_covid19_twitter_to_election2020_pl_10shot_30_07_2026_02_37_57
covid19_twitter,nm_ss_covid19_twitter,classification,twibot20,,roc_auc,0.6016127499999999,10,eval_nm_ss_covid19_twitter_to_twibot20_pl_10shot_30_07_2026_02_38_47
