exposure	block_size	seed	accuracy	f1_macro	roc_auc_ovr_macro
proportional	1	0	0.3586588542	0.3587079215	0.8851344342
proportional	1	1	0.3683105469	0.3682660578	0.8877605616
proportional	1	2	0.3653808594	0.3653765562	0.8837386322
proportional	16	0	0.3566080729	0.3565609121	0.8817818221
proportional	16	1	0.2659830729	0.2660366590	0.8313640885
proportional	16	2	0.3618489583	0.3618019773	0.8847443649
proportional	blocked	0	0.3534667969	0.3534515477	0.8769165889
proportional	blocked	1	0.3472656250	0.3472783646	0.8642569852
proportional	blocked	2	0.3434082031	0.3434030909	0.8736513630
uniform	1	0	0.3273763021	0.3273640883	0.8729139112
uniform	1	1	0.3341471354	0.3341572189	0.8762179469
uniform	1	2	0.3368815104	0.3368923037	0.8767337622
uniform	16	0	0.2414225260	0.2413167441	0.8254645534
uniform	16	1	0.2215657552	0.2215256108	0.8119692219
uniform	16	2	0.2529622396	0.2528705568	0.8332032282
uniform	blocked	0	0.2787272135	0.2786797782	0.8431142027
uniform	blocked	1	0.2906738281	0.2906096007	0.8470532816
uniform	blocked	2	0.3235514323	0.3235638401	0.8652536470
