exposure	seed	target	model_id	accuracy	f1_macro	roc_auc_ovr_macro	episode_plan_fingerprint	observed_episode_fingerprint
node-proportional	0	covid	loo_ukr_proportional_k1_s0	0.548600260417	0.548631462980	0.961287812940	58c9ae1cdca9fe2f19eec997579ac45b29f43f50ecb804d85b0503ed5a670c8d	df7eea1b7e3d6715827a53dcc6e821d1e1c1c5661083553d00420be76d4eeb15
node-proportional	1	covid	loo_ukr_proportional_k1_s1	0.555680338542	0.555659063914	0.961254735103	58c9ae1cdca9fe2f19eec997579ac45b29f43f50ecb804d85b0503ed5a670c8d	df7eea1b7e3d6715827a53dcc6e821d1e1c1c5661083553d00420be76d4eeb15
node-proportional	2	covid	loo_ukr_proportional_k1_s2	0.552555338542	0.552568259787	0.959836243624	58c9ae1cdca9fe2f19eec997579ac45b29f43f50ecb804d85b0503ed5a670c8d	df7eea1b7e3d6715827a53dcc6e821d1e1c1c5661083553d00420be76d4eeb15
uniform-over-graphs	0	covid	loo_ukr_uniform_k1_s0	0.462890625000	0.462791140270	0.939580349127	58c9ae1cdca9fe2f19eec997579ac45b29f43f50ecb804d85b0503ed5a670c8d	df7eea1b7e3d6715827a53dcc6e821d1e1c1c5661083553d00420be76d4eeb15
uniform-over-graphs	1	covid	loo_ukr_uniform_k1_s1	0.480761718750	0.480718418023	0.942244557814	58c9ae1cdca9fe2f19eec997579ac45b29f43f50ecb804d85b0503ed5a670c8d	df7eea1b7e3d6715827a53dcc6e821d1e1c1c5661083553d00420be76d4eeb15
uniform-over-graphs	2	covid	loo_ukr_uniform_k1_s2	0.486018880208	0.486012987675	0.943778183268	58c9ae1cdca9fe2f19eec997579ac45b29f43f50ecb804d85b0503ed5a670c8d	df7eea1b7e3d6715827a53dcc6e821d1e1c1c5661083553d00420be76d4eeb15
node-proportional	0	covid_political	loo_ukr_proportional_k1_s0	0.142529296875	0.142525970147	0.830688737453	4347a4089422fe620471e80f8098b3cd7635a4b53167a0f3dd3d513f6a999f93	237208e63d8b0b13e77942c576d799a46e2cb490c7af658113dc8cdfb997251c
node-proportional	1	covid_political	loo_ukr_proportional_k1_s1	0.152376302083	0.152344816182	0.850120812312	4347a4089422fe620471e80f8098b3cd7635a4b53167a0f3dd3d513f6a999f93	237208e63d8b0b13e77942c576d799a46e2cb490c7af658113dc8cdfb997251c
node-proportional	2	covid_political	loo_ukr_proportional_k1_s2	0.139225260417	0.139167025226	0.834227298046	4347a4089422fe620471e80f8098b3cd7635a4b53167a0f3dd3d513f6a999f93	237208e63d8b0b13e77942c576d799a46e2cb490c7af658113dc8cdfb997251c
uniform-over-graphs	0	covid_political	loo_ukr_uniform_k1_s0	0.155468750000	0.155473855812	0.853552026447	4347a4089422fe620471e80f8098b3cd7635a4b53167a0f3dd3d513f6a999f93	237208e63d8b0b13e77942c576d799a46e2cb490c7af658113dc8cdfb997251c
uniform-over-graphs	1	covid_political	loo_ukr_uniform_k1_s1	0.149576822917	0.149530907618	0.843183399069	4347a4089422fe620471e80f8098b3cd7635a4b53167a0f3dd3d513f6a999f93	237208e63d8b0b13e77942c576d799a46e2cb490c7af658113dc8cdfb997251c
uniform-over-graphs	2	covid_political	loo_ukr_uniform_k1_s2	0.157552083333	0.157497933534	0.846055526843	4347a4089422fe620471e80f8098b3cd7635a4b53167a0f3dd3d513f6a999f93	237208e63d8b0b13e77942c576d799a46e2cb490c7af658113dc8cdfb997251c
node-proportional	0	cp_hk	loo_ukr_proportional_k1_s0	0.108691406250	0.108675661724	0.707479279343	bc07d99d2be2f45e4eff024dbbf6f34fa1548c3b217b30488d92759c7cbd5763	d534fcf92151230ef5a9b828123779bd797bdba3b93fdc8091500dcdbc4956e1
node-proportional	1	cp_hk	loo_ukr_proportional_k1_s1	0.119905598958	0.119924809366	0.728036432705	bc07d99d2be2f45e4eff024dbbf6f34fa1548c3b217b30488d92759c7cbd5763	d534fcf92151230ef5a9b828123779bd797bdba3b93fdc8091500dcdbc4956e1
node-proportional	2	cp_hk	loo_ukr_proportional_k1_s2	0.115511067708	0.115358840227	0.717199296376	bc07d99d2be2f45e4eff024dbbf6f34fa1548c3b217b30488d92759c7cbd5763	d534fcf92151230ef5a9b828123779bd797bdba3b93fdc8091500dcdbc4956e1
uniform-over-graphs	0	cp_hk	loo_ukr_uniform_k1_s0	0.113395182292	0.113509797575	0.708966062261	bc07d99d2be2f45e4eff024dbbf6f34fa1548c3b217b30488d92759c7cbd5763	d534fcf92151230ef5a9b828123779bd797bdba3b93fdc8091500dcdbc4956e1
uniform-over-graphs	1	cp_hk	loo_ukr_uniform_k1_s1	0.116748046875	0.116657304395	0.711541479346	bc07d99d2be2f45e4eff024dbbf6f34fa1548c3b217b30488d92759c7cbd5763	d534fcf92151230ef5a9b828123779bd797bdba3b93fdc8091500dcdbc4956e1
uniform-over-graphs	2	cp_hk	loo_ukr_uniform_k1_s2	0.112792968750	0.112643607178	0.710592504890	bc07d99d2be2f45e4eff024dbbf6f34fa1548c3b217b30488d92759c7cbd5763	d534fcf92151230ef5a9b828123779bd797bdba3b93fdc8091500dcdbc4956e1
node-proportional	0	election2020	loo_ukr_proportional_k1_s0	0.143505859375	0.143545760534	0.828372380240	fc7627f954ff611634625ace30e7055aa270bc93a00920ac08663636e28ef052	c9d247d9d3ed600eb414762d1340d07eba89bfb2ba7b85c49018c5d4a0f553f9
node-proportional	1	election2020	loo_ukr_proportional_k1_s1	0.149755859375	0.149793015701	0.840186658810	fc7627f954ff611634625ace30e7055aa270bc93a00920ac08663636e28ef052	c9d247d9d3ed600eb414762d1340d07eba89bfb2ba7b85c49018c5d4a0f553f9
node-proportional	2	election2020	loo_ukr_proportional_k1_s2	0.147363281250	0.147363850060	0.839727629738	fc7627f954ff611634625ace30e7055aa270bc93a00920ac08663636e28ef052	c9d247d9d3ed600eb414762d1340d07eba89bfb2ba7b85c49018c5d4a0f553f9
uniform-over-graphs	0	election2020	loo_ukr_uniform_k1_s0	0.155745442708	0.155692595272	0.845066263073	fc7627f954ff611634625ace30e7055aa270bc93a00920ac08663636e28ef052	c9d247d9d3ed600eb414762d1340d07eba89bfb2ba7b85c49018c5d4a0f553f9
uniform-over-graphs	1	election2020	loo_ukr_uniform_k1_s1	0.145800781250	0.145583620572	0.839129040844	fc7627f954ff611634625ace30e7055aa270bc93a00920ac08663636e28ef052	c9d247d9d3ed600eb414762d1340d07eba89bfb2ba7b85c49018c5d4a0f553f9
uniform-over-graphs	2	election2020	loo_ukr_uniform_k1_s2	0.154443359375	0.154411400887	0.841814142397	fc7627f954ff611634625ace30e7055aa270bc93a00920ac08663636e28ef052	c9d247d9d3ed600eb414762d1340d07eba89bfb2ba7b85c49018c5d4a0f553f9
node-proportional	0	facebook_page_reference	loo_ukr_proportional_k1_s0	0.272135416667	0.272147608977	0.840624677039	953c6b541994784604b966c0ae43526c6fe27809f5763c152c45738c318924bc	25535a2d58279616f6d483b560a5c5ebbe50381842e60377b09bb6aa5436b280
node-proportional	1	facebook_page_reference	loo_ukr_proportional_k1_s1	0.280859375000	0.280825205575	0.843517703160	953c6b541994784604b966c0ae43526c6fe27809f5763c152c45738c318924bc	25535a2d58279616f6d483b560a5c5ebbe50381842e60377b09bb6aa5436b280
