seed,covered_targets,mean_accuracy,mean_auc,mean_accuracy_gain,targets_improved,targets_non_degraded,minimum_support_competence
0,4,0.8102213541666667,0.8353839980231391,0.026611328125,4,4,0.6292968392372131
1,4,0.81005859375,0.8281887725547508,0.0169270833333333,3,4,0.646484375
2,4,0.8164876302083333,0.8423400101838289,0.0186360677083333,3,4,0.635937511920929
