seed,method,targets,mean_accuracy,mean_auc,mean_accuracy_gain,targets_improved,targets_non_degraded
0,fixed_best,5,0.7331380208333333,0.7632092652497467,0.0,0,5
0,learned_stage_consensus,5,0.7524088541666666,0.7717923199688947,0.01927083333333334,4,4
0,raw_agreement,5,0.7260416666666667,0.7792646620008681,-0.00709635416666664,2,2
0,support_loo,5,0.7173177083333333,0.7496129777696398,-0.0158203125,1,1
0,support_loo_u1_agreement,5,0.7505208333333334,0.7709439171685113,0.0173828125,4,4
0,u1_agreement,5,0.7600911458333333,0.7814531962076823,0.026953125,5,5
1,fixed_best,5,0.7423177083333334,0.7744974913420501,0.0,0,5
1,learned_stage_consensus,5,0.7550130208333334,0.7784619790536386,0.0126953125,3,4
1,raw_agreement,5,0.7231119791666666,0.7805569260208695,-0.01920572916666668,2,2
1,support_loo,5,0.7147786458333333,0.7441882380732784,-0.0275390625,0,1
1,support_loo_u1_agreement,5,0.744140625,0.7612570727313006,0.0018229166666666394,3,4
1,u1_agreement,5,0.7596354166666667,0.7779988324200666,0.01731770833333332,3,4
2,fixed_best,5,0.74765625,0.781467593157733,0.0,0,5
2,learned_stage_consensus,5,0.7602213541666667,0.792844475640191,0.01256510416666668,3,4
2,raw_agreement,5,0.726171875,0.7932358494511357,-0.021484375,1,1
2,support_loo,5,0.7204427083333333,0.75968342533818,-0.027213541666666664,1,2
2,support_loo_u1_agreement,5,0.7531901041666667,0.7758373401783131,0.005533854166666641,3,4
2,u1_agreement,5,0.75859375,0.7811294273093894,0.01093749999999998,3,4
