target,method,seeds,mean_accuracy,std_accuracy,mean_auc,std_auc,mean_accuracy_gain,min_accuracy_gain,max_accuracy_gain,seeds_improved,seeds_non_degraded
covid_political,fixed_best,3,0.8998480902777778,0.010768460085862038,0.9522300060884451,0.009763134113012044,0.0,0.0,0.0,0,3
covid_political,learned_stage_consensus,3,0.9059244791666666,0.0114071715286037,0.9506447874469521,0.009515165243759238,0.006076388888888899,-0.0013020833333333,0.0146484375,2,2
covid_political,raw_agreement,3,0.7521701388888888,0.00261093954329777,0.9206989429615161,0.006795590471161542,-0.14767795138888892,-0.1572265625,-0.1422526041666667,0,0
covid_political,support_loo,3,0.8882378472222222,0.0014678547372470078,0.9441997386791089,0.004908022276394319,-0.011610243055555566,-0.025390625,-0.0035807291666667,0,0
covid_political,support_loo_u1_agreement,3,0.9205729166666666,0.005238762024554299,0.9443557174117477,0.0036826304871595927,0.020724826388888833,0.0143229166666666,0.0270182291666666,3,3
covid_political,u1_agreement,3,0.9208984375,0.009166749896047297,0.9501666787229938,0.008153360166998434,0.0210503472222222,0.0185546875,0.025390625,3,3
election2020,fixed_best,3,0.9752604166666666,0.0022552744890219838,0.9836832682291666,0.0017104369756660049,0.0,0.0,0.0,0,3
election2020,learned_stage_consensus,3,0.9765625,0.0,0.9840087890625,0.002077886295233057,0.0013020833333333333,0.0,0.00390625,1,3
election2020,raw_agreement,3,0.9518229166666666,0.008131507810414596,0.9814249674479166,0.003792210742495187,-0.0234375,-0.03125,-0.015625,0,0
election2020,support_loo,3,0.9765625,0.0,0.9864095052083334,0.0026585931354035975,0.0013020833333333333,0.0,0.00390625,1,3
election2020,support_loo_u1_agreement,3,0.9765625,0.0,0.9864095052083334,0.0026585931354035975,0.0013020833333333333,0.0,0.00390625,1,3
election2020,u1_agreement,3,0.9765625,0.0,0.9836018880208334,0.0018716342174653069,0.0013020833333333333,0.0,0.00390625,1,3
facebook_page_reference,fixed_best,3,0.6832682291666666,0.010022659061419683,0.7550913492838541,0.0017362125705669147,0.0,0.0,0.0,0,3
facebook_page_reference,learned_stage_consensus,3,0.7317708333333334,0.008807128423482214,0.7759208679199219,0.0027962043208815657,0.048502604166666664,0.0419921875,0.0576171875,3,3
facebook_page_reference,raw_agreement,3,0.8336588541666666,0.0005638186222554778,0.8697344462076823,0.00442633829293108,0.150390625,0.1396484375,0.158203125,3,3
facebook_page_reference,support_loo,3,0.6751302083333334,0.012365507756004267,0.7474644978841146,0.017448503827406307,-0.008138020833333334,-0.0302734375,0.013671875,1,1
facebook_page_reference,support_loo_u1_agreement,3,0.7262369791666666,0.006859149578680183,0.7757644653320312,0.014771083651107846,0.04296875,0.025390625,0.05859375,3,3
facebook_page_reference,u1_agreement,3,0.7197265625,0.01109161786289116,0.7717984517415365,0.005570009718093108,0.036458333333333336,0.0341796875,0.0380859375,3,3
twibot20,fixed_best,3,0.6077473958333334,0.021226354670444158,0.6430969944706669,0.02636962493091621,0.0,0.0,0.0,0,3
twibot20,learned_stage_consensus,3,0.6260850694444445,0.009237758964319807,0.6514993596959997,0.017297600286327444,0.018337673611111133,-0.0035807291666666,0.0322265625,2,2
twibot20,raw_agreement,3,0.541015625,0.0017224943431410164,0.588624742296007,0.0059679931339168,-0.0667317708333333,-0.0849609375,-0.0452473958333332,0,0
twibot20,support_loo,3,0.571072048611111,0.005862388306961875,0.6005001068115234,0.015027083322994598,-0.0366753472222222,-0.0501302083333333,-0.0185546875,0,0
twibot20,support_loo_u1_agreement,3,0.6256510416666666,0.0036248465903840374,0.6346873530635128,0.013847335071522374,0.017903645833333297,0.0016276041666666,0.0367838541666667,3,3
twibot20,u1_agreement,3,0.6448567708333334,0.011911571916362024,0.6638672440140335,0.01804617533629835,0.037109374999999965,0.0179036458333333,0.046875,3,3
ukr_rus_suspended,fixed_best,3,0.5390625,0.0078125,0.53118896484375,0.022130862870879734,0.0,0.0,0.0,0,3
ukr_rus_suspended,learned_stage_consensus,3,0.5390625,0.02029747040119778,0.5430908203125,0.03536164366574212,0.0,-0.0234375,0.01953125,2,2
ukr_rus_suspended,raw_agreement,3,0.546875,0.0078125,0.561279296875,0.02384967767269723,0.0078125,-0.0078125,0.0234375,2,2
ukr_rus_suspended,support_loo,3,0.4765625,0.00390625,0.47723388671875,0.0056311340794291,-0.0625,-0.07421875,-0.05078125,0,0
ukr_rus_suspended,support_loo_u1_agreement,3,0.4973958333333333,0.01578692142315383,0.5055135091145834,0.010512644945854674,-0.041666666666666664,-0.05859375,-0.01953125,0,0
ukr_rus_suspended,u1_agreement,3,0.53515625,0.024394523431243743,0.5315348307291666,0.014204066803121314,-0.00390625,-0.0234375,0.03125,1,1
