seed,target,target_support_competence,target_supported_at_0_55,accuracy,auc,accuracy_gain_over_fixed_best
0,covid_political,0.9046874642372132,True,0.9163411458333334,0.9432593451605904,0.0208333333333333
0,election2020,0.980078101158142,True,0.9765625,0.985595703125,0.00390625
0,facebook_page_reference,0.7078125476837158,True,0.7255859375,0.7817192077636719,0.044921875
0,twibot20,0.6292968392372131,True,0.6223958333333334,0.6309617360432943,0.0367838541666667
0,ukr_rus_suspended,0.494140625,False,0.51171875,0.51318359375,-0.01953125
1,covid_political,0.9058592915534972,True,0.9189453125,0.9413457799840858,0.0270182291666666
1,election2020,0.980078101158142,True,0.9765625,0.9893798828125,0.0
1,facebook_page_reference,0.71484375,True,0.7197265625,0.7589454650878906,0.025390625
1,twibot20,0.646484375,True,0.625,0.6230839623345268,0.0152994791666666
1,ukr_rus_suspended,0.501171886920929,False,0.48046875,0.4935302734375,-0.05859375
2,covid_political,0.913281261920929,True,0.9264322916666666,0.9484620270905672,0.0143229166666666
2,election2020,0.980078101158142,True,0.9765625,0.9842529296875,0.0
2,facebook_page_reference,0.7203124761581421,True,0.7333984375,0.7866287231445312,0.05859375
2,twibot20,0.635937511920929,True,0.6295572916666666,0.6500163608127171,0.0016276041666666
2,ukr_rus_suspended,0.498828113079071,False,0.5,0.50982666015625,-0.046875
