arm,seed,checkpoint_step,auc,f1_macro,accuracy,sources,target_split_hash,result_path
election,0,300,0.7077515953763316,0.6510249601699416,0.6666666666666666,election2020,ce874096d3960a5ec9653bdd6f82b68ab793865980d6dc730588a9f78796b0e1,/dataMeR1/phil/gfm/mixture-scaling/results/twibot_saturation/raw/election_s0_step_300.json
election,0,600,0.6923406518719896,0.6467752234993613,0.6632882882882883,election2020,ce874096d3960a5ec9653bdd6f82b68ab793865980d6dc730588a9f78796b0e1,/dataMeR1/phil/gfm/mixture-scaling/results/twibot_saturation/raw/election_s0_step_600.json
election,0,900,0.691494623835507,0.6386740719087987,0.6570945945945946,election2020,ce874096d3960a5ec9653bdd6f82b68ab793865980d6dc730588a9f78796b0e1,/dataMeR1/phil/gfm/mixture-scaling/results/twibot_saturation/raw/election_s0_step_900.json
election,0,1500,0.7163108038486887,0.6530370870997719,0.6666666666666666,election2020,ce874096d3960a5ec9653bdd6f82b68ab793865980d6dc730588a9f78796b0e1,/dataMeR1/phil/gfm/mixture-scaling/results/twibot_saturation/raw/election_s0_step_1500.json
election,0,2500,0.7149386581494277,0.6567381200881348,0.6706081081081081,election2020,ce874096d3960a5ec9653bdd6f82b68ab793865980d6dc730588a9f78796b0e1,/dataMeR1/phil/gfm/mixture-scaling/results/twibot_saturation/raw/election_s0_step_2500.json
election,0,3250,0.7116258513277565,0.6587389314791704,0.6722972972972973,election2020,ce874096d3960a5ec9653bdd6f82b68ab793865980d6dc730588a9f78796b0e1,/dataMeR1/phil/gfm/mixture-scaling/results/twibot_saturation/raw/election_s0_step_3250.json
election,1,100,0.7052308558052169,0.6582775563832035,0.6683558558558559,election2020,ce874096d3960a5ec9653bdd6f82b68ab793865980d6dc730588a9f78796b0e1,/dataMeR1/phil/gfm/mixture-scaling/results/twibot_saturation/raw/election_s1_step_100.json
election,1,300,0.7039910425095364,0.653125,0.6632882882882883,election2020,ce874096d3960a5ec9653bdd6f82b68ab793865980d6dc730588a9f78796b0e1,/dataMeR1/phil/gfm/mixture-scaling/results/twibot_saturation/raw/election_s1_step_300.json
election,1,600,0.6968669339866871,0.6413809327765688,0.652027027027027,election2020,ce874096d3960a5ec9653bdd6f82b68ab793865980d6dc730588a9f78796b0e1,/dataMeR1/phil/gfm/mixture-scaling/results/twibot_saturation/raw/election_s1_step_600.json
election,1,900,0.6952879386080429,0.6376074368328322,0.6486486486486487,election2020,ce874096d3960a5ec9653bdd6f82b68ab793865980d6dc730588a9f78796b0e1,/dataMeR1/phil/gfm/mixture-scaling/results/twibot_saturation/raw/election_s1_step_900.json
election,1,1500,0.6899181980180973,0.6362000941167275,0.6458333333333334,election2020,ce874096d3960a5ec9653bdd6f82b68ab793865980d6dc730588a9f78796b0e1,/dataMeR1/phil/gfm/mixture-scaling/results/twibot_saturation/raw/election_s1_step_1500.json
election,1,2500,0.6912106873190869,0.6424948437758544,0.652027027027027,election2020,ce874096d3960a5ec9653bdd6f82b68ab793865980d6dc730588a9f78796b0e1,/dataMeR1/phil/gfm/mixture-scaling/results/twibot_saturation/raw/election_s1_step_2500.json
election,1,2750,0.6905997741355675,0.6440511205393165,0.6531531531531531,election2020,ce874096d3960a5ec9653bdd6f82b68ab793865980d6dc730588a9f78796b0e1,/dataMeR1/phil/gfm/mixture-scaling/results/twibot_saturation/raw/election_s1_step_2750.json
election,2,100,0.6961821459176738,0.6524234351579733,0.6632882882882883,election2020,ce874096d3960a5ec9653bdd6f82b68ab793865980d6dc730588a9f78796b0e1,/dataMeR1/phil/gfm/mixture-scaling/results/twibot_saturation/raw/election_s2_step_100.json
election,2,300,0.6968495894483537,0.6493663911845731,0.661036036036036,election2020,ce874096d3960a5ec9653bdd6f82b68ab793865980d6dc730588a9f78796b0e1,/dataMeR1/phil/gfm/mixture-scaling/results/twibot_saturation/raw/election_s2_step_300.json
election,2,600,0.6917759907906926,0.6416647996824161,0.6531531531531531,election2020,ce874096d3960a5ec9653bdd6f82b68ab793865980d6dc730588a9f78796b0e1,/dataMeR1/phil/gfm/mixture-scaling/results/twibot_saturation/raw/election_s2_step_600.json
