model,dataset,shots,target,task,split,run,roc_auc,accuracy,f1
CLFP,twibot20,10,,classification,test,eval_CLFP_to_twibot20_pl_10shot_14_07_2026_11_53_16,0.6401969861111111,0.6061666666666666,0.5560773999624272
NMCL,twibot20,10,,classification,test,eval_NMCL_to_twibot20_pl_10shot_14_07_2026_11_53_16,0.6223992916666667,0.5881666666666666,0.5858890564772917
NMFP,twibot20,10,,classification,test,eval_NMFP_to_twibot20_pl_10shot_14_07_2026_11_53_16,0.6233447777777777,0.5893333333333334,0.5782988190997775
NM,twibot20,10,,classification,test,eval_NM_to_twibot20_pl_10shot_14_07_2026_11_53_16,0.6398302777777778,0.5988333333333333,0.6107697283311773
CL,twibot20,10,,classification,test,eval_CL_to_twibot20_pl_10shot_14_07_2026_11_53_44,0.6106375138888889,0.5836666666666667,0.5588131402331332
FP,twibot20,10,,classification,test,eval_FP_to_twibot20_pl_10shot_14_07_2026_11_53_53,0.4895432777777778,0.5011666666666666,0.6563325295671145
MIX,twibot20,10,,classification,test,eval_MIX_to_twibot20_pl_10shot_14_07_2026_11_53_53,0.6097460277777778,0.5839166666666666,0.5933707956673996
NMCL,election2020,10,,classification,test,eval_NMCL_to_election2020_pl_10shot_14_07_2026_11_53_53,0.978152,0.959,0.9594460929772503
NMFP,election2020,10,,classification,test,eval_NMFP_to_election2020_pl_10shot_14_07_2026_11_54_11,0.9816099999999999,0.965,0.9655172413793104
CLFP,election2020,10,,classification,test,eval_CLFP_to_election2020_pl_10shot_14_07_2026_11_54_24,0.561172,0.557,0.5565565565565566
CL,election2020,10,,classification,test,eval_CL_to_election2020_pl_10shot_14_07_2026_11_54_25,0.664866,0.639,0.6429277942631059
NM,election2020,10,,classification,test,eval_NM_to_election2020_pl_10shot_14_07_2026_11_54_25,0.98038,0.964,0.9642147117296223
FP,election2020,10,,classification,test,eval_FP_to_election2020_pl_10shot_14_07_2026_11_54_43,0.495312,0.5,0.6666666666666666
MIX,election2020,10,,classification,test,eval_MIX_to_election2020_pl_10shot_14_07_2026_11_54_59,0.98051,0.968,0.9682539682539683
