architecture	model_id	sources	training_seed	evaluation_seed	checkpoint_step	task	dataset	episodes	queries	episode_fingerprint	roc_auc	accuracy	f1
prodigy	ss_covid_political	covid_political	2	0	300	classification	covid_political	128	3072	db497c203ef6c4249fb91b34083c59d3c400dc84b821c0835e3d5426fbbe2750	0.8990879765263309	0.9098307291666666	0.8109215017064847
prodigy	ss_covid_political	covid_political	2	0	900	classification	covid_political	128	3072	db497c203ef6c4249fb91b34083c59d3c400dc84b821c0835e3d5426fbbe2750	0.9118468673140915	0.8785807291666666	0.7757065544197234
prodigy	ss_covid_political	covid_political	2	0	300	classification	election2020	128	256	4b5288ebc0896afebadb04ad14ebc9ec53fb1a88beeae490bd1d31ace91f14ef	0.981842041015625	0.984375	0.9846153846153847
prodigy	ss_covid_political	covid_political	2	0	900	classification	election2020	128	256	4b5288ebc0896afebadb04ad14ebc9ec53fb1a88beeae490bd1d31ace91f14ef	0.98577880859375	0.97265625	0.9731800766283525
prodigy	ss_covid_political	covid_political	2	0	300	classification	facebook_page_reference	128	1024	df2330ab1920415c5c98c8ec00ef3e640a961ff90514a04bf5074d09529a0afe	0.6345672607421875	0.5927734375	0.592375366568915
prodigy	ss_covid_political	covid_political	2	0	900	classification	facebook_page_reference	128	1024	df2330ab1920415c5c98c8ec00ef3e640a961ff90514a04bf5074d09529a0afe	0.68756103515625	0.630859375	0.6301369863013698
prodigy	ss_covid_political	covid_political	2	0	300	classification	twibot20	128	3072	c52eedbda4ef0539387be507588f0477560fc57987270d62405daeda5fe6d92d	0.6170832316080729	0.572265625	0.6215437788018433
prodigy	ss_covid_political	covid_political	2	0	900	classification	twibot20	128	3072	c52eedbda4ef0539387be507588f0477560fc57987270d62405daeda5fe6d92d	0.5263555314805772	0.5247395833333334	0.5152722443559097
prodigy	ss_covid_political	covid_political	2	0	300	classification	ukr_rus_suspended	128	256	c4b969d4c4f558104e8052335698b2ea62a3f94fa5af7e021a7bf0d46e2e3347	0.5010986328125	0.50390625	0.48582995951417
prodigy	ss_covid_political	covid_political	2	0	900	classification	ukr_rus_suspended	128	256	c4b969d4c4f558104e8052335698b2ea62a3f94fa5af7e021a7bf0d46e2e3347	0.52239990234375	0.5390625	0.5241935483870968
prodigy	ss_election2020	election2020	2	0	300	classification	covid_political	128	3072	db497c203ef6c4249fb91b34083c59d3c400dc84b821c0835e3d5426fbbe2750	0.825259738498264	0.6650390625	0.586248492159228
prodigy	ss_election2020	election2020	2	0	900	classification	covid_political	128	3072	db497c203ef6c4249fb91b34083c59d3c400dc84b821c0835e3d5426fbbe2750	0.9400538691767941	0.9007161458333334	0.8194197750148017
prodigy	ss_election2020	election2020	2	0	300	classification	election2020	128	256	4b5288ebc0896afebadb04ad14ebc9ec53fb1a88beeae490bd1d31ace91f14ef	0.9837646484375	0.984375	0.9846153846153847
prodigy	ss_election2020	election2020	2	0	900	classification	election2020	128	256	4b5288ebc0896afebadb04ad14ebc9ec53fb1a88beeae490bd1d31ace91f14ef	0.99090576171875	0.9765625	0.9769230769230769
prodigy	ss_election2020	election2020	2	0	300	classification	facebook_page_reference	128	1024	df2330ab1920415c5c98c8ec00ef3e640a961ff90514a04bf5074d09529a0afe	0.5531845092773438	0.5400390625	0.525679758308157
prodigy	ss_election2020	election2020	2	0	900	classification	facebook_page_reference	128	1024	df2330ab1920415c5c98c8ec00ef3e640a961ff90514a04bf5074d09529a0afe	0.6688995361328125	0.623046875	0.6266924564796905
prodigy	ss_election2020	election2020	2	0	300	classification	twibot20	128	3072	c52eedbda4ef0539387be507588f0477560fc57987270d62405daeda5fe6d92d	0.6735490163167318	0.6363932291666666	0.6789307272204657
prodigy	ss_election2020	election2020	2	0	900	classification	twibot20	128	3072	c52eedbda4ef0539387be507588f0477560fc57987270d62405daeda5fe6d92d	0.6104399363199869	0.5641276041666666	0.49222601441031477
prodigy	ss_election2020	election2020	2	0	300	classification	ukr_rus_suspended	128	256	c4b969d4c4f558104e8052335698b2ea62a3f94fa5af7e021a7bf0d46e2e3347	0.5009765625	0.5078125	0.5190839694656488
prodigy	ss_election2020	election2020	2	0	900	classification	ukr_rus_suspended	128	256	c4b969d4c4f558104e8052335698b2ea62a3f94fa5af7e021a7bf0d46e2e3347	0.54034423828125	0.52734375	0.5328185328185329
prodigy	ss_facebook_page_reference	facebook_page_reference	2	0	300	classification	covid_political	128	3072	db497c203ef6c4249fb91b34083c59d3c400dc84b821c0835e3d5426fbbe2750	0.631940205891927	0.5198567708333334	0.4419220582671207
prodigy	ss_facebook_page_reference	facebook_page_reference	2	0	900	classification	covid_political	128	3072	db497c203ef6c4249fb91b34083c59d3c400dc84b821c0835e3d5426fbbe2750	0.7643333717628761	0.6328125	0.5256518082422204
prodigy	ss_facebook_page_reference	facebook_page_reference	2	0	300	classification	election2020	128	256	4b5288ebc0896afebadb04ad14ebc9ec53fb1a88beeae490bd1d31ace91f14ef	0.9471435546875	0.83984375	0.8591065292096219
prodigy	ss_facebook_page_reference	facebook_page_reference	2	0	900	classification	election2020	128	256	4b5288ebc0896afebadb04ad14ebc9ec53fb1a88beeae490bd1d31ace91f14ef	0.97955322265625	0.9453125	0.9481481481481482
prodigy	ss_facebook_page_reference	facebook_page_reference	2	0	300	classification	facebook_page_reference	128	1024	df2330ab1920415c5c98c8ec00ef3e640a961ff90514a04bf5074d09529a0afe	0.7193641662597656	0.66015625	0.6660268714011516
prodigy	ss_facebook_page_reference	facebook_page_reference	2	0	900	classification	facebook_page_reference	128	1024	df2330ab1920415c5c98c8ec00ef3e640a961ff90514a04bf5074d09529a0afe	0.7622089385986328	0.6953125	0.6923076923076923
prodigy	ss_facebook_page_reference	facebook_page_reference	2	0	300	classification	twibot20	128	3072	c52eedbda4ef0539387be507588f0477560fc57987270d62405daeda5fe6d92d	0.591470930311415	0.5677083333333334	0.5786802030456852
prodigy	ss_facebook_page_reference	facebook_page_reference	2	0	900	classification	twibot20	128	3072	c52eedbda4ef0539387be507588f0477560fc57987270d62405daeda5fe6d92d	0.5514204237196181	0.5416666666666666	0.5515923566878981
prodigy	ss_facebook_page_reference	facebook_page_reference	2	0	300	classification	ukr_rus_suspended	128	256	c4b969d4c4f558104e8052335698b2ea62a3f94fa5af7e021a7bf0d46e2e3347	0.4844970703125	0.4921875	0.4921875
prodigy	ss_facebook_page_reference	facebook_page_reference	2	0	900	classification	ukr_rus_suspended	128	256	c4b969d4c4f558104e8052335698b2ea62a3f94fa5af7e021a7bf0d46e2e3347	0.503997802734375	0.53125	0.5419847328244275
prodigy	ss_twibot20	twibot20	2	0	300	classification	covid_political	128	3072	db497c203ef6c4249fb91b34083c59d3c400dc84b821c0835e3d5426fbbe2750	0.9116487856264467	0.8258463541666666	0.7185691741188848
prodigy	ss_twibot20	twibot20	2	0	900	classification	covid_political	128	3072	db497c203ef6c4249fb91b34083c59d3c400dc84b821c0835e3d5426fbbe2750	0.9031284473560475	0.7858072916666666	0.6732869910625621
prodigy	ss_twibot20	twibot20	2	0	300	classification	election2020	128	256	4b5288ebc0896afebadb04ad14ebc9ec53fb1a88beeae490bd1d31ace91f14ef	0.98486328125	0.984375	0.9846153846153847
prodigy	ss_twibot20	twibot20	2	0	900	classification	election2020	128	256	4b5288ebc0896afebadb04ad14ebc9ec53fb1a88beeae490bd1d31ace91f14ef	0.98297119140625	0.984375	0.9846153846153847
