rung,n_sources,train_graph,added,sampling,backbone,ukr_rus_twitter,covid19_twitter,midterm,covid_political,election2020,ukr_rus_suspended,twibot20,cp_hk_twitter
1,1,ukr,ukr_rus_twitter,within_balanced,gatv2,0.941450,0.969911,0.854231,0.825793,0.802497,0.756769,0.915815,0.721961
2,2,ukr+cov,covid19_twitter,within_balanced,gatv2,0.937074,0.976453,0.863386,0.816194,0.806939,0.754911,0.921736,0.719578
3,3,ukr+cov+mid,midterm,within_balanced,gatv2,0.933223,0.975427,0.903471,0.837514,0.822993,0.762697,0.922378,0.714628
4,4,+cov_pol,covid_political,within_balanced,gatv2,0.928435,0.973062,0.898514,0.909043,0.821962,0.756394,0.918747,0.719576
5,5,+elec20,election2020,within_balanced,gatv2,0.915734,0.969079,0.889868,0.905165,0.909835,0.747739,0.914054,0.718904
6,6,+ukr_susp,ukr_rus_suspended,within_balanced,gatv2,0.923564,0.970407,0.893818,0.906121,0.910096,0.924334,0.919782,0.722073
7,7,+twibot20,twibot20,within_balanced,gatv2,0.926214,0.972232,0.893596,0.905575,0.911254,0.920433,0.931387,0.714461
8,8,all8,cp_hk_twitter,within_balanced,gatv2,0.918530,0.968154,0.890987,0.904513,0.901525,0.911572,0.929119,0.853272
