view	objective	source	target	checkpoint_step	metric	value	replicate_std
neighborhood	fp	ukr_rus_suspended	election2020	1250	scaled_cosine_error	0.07136545432983218	0.0001266924182122223
neighborhood	fp	ukr_rus_suspended	ukr_rus_suspended	1250	scaled_cosine_error	0.23264153624913297	0.00012978059367381057
neighborhood	fp	ukr_rus_suspended	twibot20	1250	scaled_cosine_error	0.2038798222913168	5.373989041931112e-05
neighborhood	fp	ukr_rus_suspended	cp_hk_twitter	1250	scaled_cosine_error	0.3130445581167454	5.1087256288398226e-05
neighborhood	fp	ukr_rus_suspended	facebook_page_reference	1250	scaled_cosine_error	0.1300854682358106	0.00010130145362527788
neighborhood	fp	twibot20	ukr_rus_twitter	3500	scaled_cosine_error	0.30369060545808024	7.930865994646909e-06
neighborhood	fp	twibot20	covid19_twitter	3500	scaled_cosine_error	0.26953688862782427	4.315298161197657e-06
neighborhood	fp	twibot20	midterm	3500	scaled_cosine_error	0.26130431285829314	3.616536343218792e-05
neighborhood	fp	twibot20	covid_political	3500	scaled_cosine_error	0.0827158650377829	0.00011132883932822978
neighborhood	fp	twibot20	election2020	3500	scaled_cosine_error	0.06498675687893017	0.0001012148585174522
neighborhood	fp	twibot20	ukr_rus_suspended	3500	scaled_cosine_error	0.246487763810426	0.0001472571575735071
neighborhood	fp	twibot20	twibot20	3500	scaled_cosine_error	0.1869530813622225	4.219006399502755e-05
neighborhood	fp	twibot20	cp_hk_twitter	3500	scaled_cosine_error	0.3054571545566892	5.12473531162149e-05
neighborhood	fp	twibot20	facebook_page_reference	3500	scaled_cosine_error	0.11596949425141016	0.00010618771327037693
neighborhood	fp	cp_hk_twitter	ukr_rus_twitter	2000	scaled_cosine_error	0.3048122049063623	8.34492706590291e-06
neighborhood	fp	cp_hk_twitter	covid19_twitter	2000	scaled_cosine_error	0.2702856868289916	3.903909208120056e-06
neighborhood	fp	cp_hk_twitter	midterm	2000	scaled_cosine_error	0.26543717586665966	3.609554214539028e-05
neighborhood	fp	cp_hk_twitter	covid_political	2000	scaled_cosine_error	0.08902569145795078	0.00014395872096023055
neighborhood	fp	cp_hk_twitter	election2020	2000	scaled_cosine_error	0.0743126149717215	0.0001439682691094944
neighborhood	fp	cp_hk_twitter	ukr_rus_suspended	2000	scaled_cosine_error	0.24869546815890398	0.00015140674632377815
neighborhood	fp	cp_hk_twitter	twibot20	2000	scaled_cosine_error	0.1970048932426887	5.184121469483583e-05
neighborhood	fp	cp_hk_twitter	cp_hk_twitter	2000	scaled_cosine_error	0.29897059581523555	4.920864644643753e-05
neighborhood	fp	cp_hk_twitter	facebook_page_reference	2000	scaled_cosine_error	0.12541134684138827	0.00010159138488257169
neighborhood	fp	facebook_page_reference	ukr_rus_twitter	3500	scaled_cosine_error	0.31604834218881117	9.12108796528792e-06
neighborhood	fp	facebook_page_reference	covid19_twitter	3500	scaled_cosine_error	0.283069084227758	4.808746027599152e-06
neighborhood	fp	facebook_page_reference	midterm	3500	scaled_cosine_error	0.27852506966406415	5.972295563394056e-05
neighborhood	fp	facebook_page_reference	covid_political	3500	scaled_cosine_error	0.0982477288258504	0.0001090976795986153
neighborhood	fp	facebook_page_reference	election2020	3500	scaled_cosine_error	0.07774965762286572	0.00013193824258724482
neighborhood	fp	facebook_page_reference	ukr_rus_suspended	3500	scaled_cosine_error	0.25672337847666654	0.00017044973237415333
neighborhood	fp	facebook_page_reference	twibot20	3500	scaled_cosine_error	0.2035416194515703	5.194616292074244e-05
neighborhood	fp	facebook_page_reference	cp_hk_twitter	3500	scaled_cosine_error	0.31712947035147715	6.017740012723016e-05
neighborhood	fp	facebook_page_reference	facebook_page_reference	3500	scaled_cosine_error	0.09740969656109809	8.041388479043042e-05
