view	objective	source	target	checkpoint_step	metric	value	replicate_std
neighborhood	lp	ukr_rus_twitter	ukr_rus_twitter	7500	roc_auc	0.7002357142857143	
neighborhood	lp	ukr_rus_twitter	covid19_twitter	7500	roc_auc	0.7268237244897959	
neighborhood	lp	ukr_rus_twitter	midterm	7500	roc_auc	0.5843321428571429	
neighborhood	lp	ukr_rus_twitter	twibot20	7500	roc_auc	0.6907977040816327	
neighborhood	lp	ukr_rus_twitter	cp_hk_twitter	7500	roc_auc	0.5443941326530612	
neighborhood	lp	ukr_rus_twitter	facebook_page_reference	7500	roc_auc	0.6190441326530612	
neighborhood	lp	covid19_twitter	ukr_rus_twitter	7250	roc_auc	0.6981102040816326	
neighborhood	lp	covid19_twitter	covid19_twitter	7250	roc_auc	0.7750191326530612	
neighborhood	lp	covid19_twitter	midterm	7250	roc_auc	0.5991806122448979	
neighborhood	lp	covid19_twitter	twibot20	7250	roc_auc	0.7466933673469388	
neighborhood	lp	covid19_twitter	cp_hk_twitter	7250	roc_auc	0.5645604591836735	
neighborhood	lp	covid19_twitter	facebook_page_reference	7250	roc_auc	0.6265257653061225	
neighborhood	lp	midterm	ukr_rus_twitter	4500	roc_auc	0.693965306122449	
neighborhood	lp	midterm	covid19_twitter	4500	roc_auc	0.7680686224489796	
neighborhood	lp	midterm	midterm	4500	roc_auc	0.6791566326530613	
neighborhood	lp	midterm	twibot20	4500	roc_auc	0.7809063775510204	
neighborhood	lp	midterm	cp_hk_twitter	4500	roc_auc	0.5349038265306122	
neighborhood	lp	midterm	facebook_page_reference	4500	roc_auc	0.6129160714285714	
neighborhood	lp	covid_political	ukr_rus_twitter	5250	roc_auc	0.5575841836734694	
neighborhood	lp	covid_political	covid19_twitter	5250	roc_auc	0.6047104591836735	
neighborhood	lp	covid_political	midterm	5250	roc_auc	0.5937020408163265	
neighborhood	lp	covid_political	twibot20	5250	roc_auc	0.725009693877551	
neighborhood	lp	covid_political	cp_hk_twitter	5250	roc_auc	0.517027806122449	
neighborhood	lp	covid_political	facebook_page_reference	5250	roc_auc	0.5707206632653061	
neighborhood	lp	election2020	ukr_rus_twitter	6750	roc_auc	0.5748571428571428	
neighborhood	lp	election2020	covid19_twitter	6750	roc_auc	0.6309359693877551	
neighborhood	lp	election2020	midterm	6750	roc_auc	0.6782755102040816	
neighborhood	lp	election2020	twibot20	6750	roc_auc	0.7213760204081633	
neighborhood	lp	election2020	cp_hk_twitter	6750	roc_auc	0.512973724489796	
neighborhood	lp	election2020	facebook_page_reference	6750	roc_auc	0.5700119897959184	
neighborhood	lp	ukr_rus_suspended	ukr_rus_twitter	5750	roc_auc	0.630198724489796	
neighborhood	lp	ukr_rus_suspended	covid19_twitter	5750	roc_auc	0.647522193877551	
neighborhood	lp	ukr_rus_suspended	midterm	5750	roc_auc	0.5425341836734694	
neighborhood	lp	ukr_rus_suspended	twibot20	5750	roc_auc	0.641259693877551	
neighborhood	lp	ukr_rus_suspended	cp_hk_twitter	5750	roc_auc	0.49438494897959184	
neighborhood	lp	ukr_rus_suspended	facebook_page_reference	5750	roc_auc	0.5794107142857143	
neighborhood	lp	twibot20	ukr_rus_twitter	9000	roc_auc	0.6959660714285715	
neighborhood	lp	twibot20	covid19_twitter	9000	roc_auc	0.8189426020408164	
neighborhood	lp	twibot20	midterm	9000	roc_auc	0.6570132653061225	
neighborhood	lp	twibot20	twibot20	9000	roc_auc	0.8352795918367347	
neighborhood	lp	twibot20	cp_hk_twitter	9000	roc_auc	0.5520987244897959	
neighborhood	lp	twibot20	facebook_page_reference	9000	roc_auc	0.6768869897959183	
neighborhood	lp	cp_hk_twitter	ukr_rus_twitter	2750	roc_auc	0.6036821428571428	
neighborhood	lp	cp_hk_twitter	covid19_twitter	2750	roc_auc	0.6485306122448979	
neighborhood	lp	cp_hk_twitter	midterm	2750	roc_auc	0.6109489795918367	
neighborhood	lp	cp_hk_twitter	twibot20	2750	roc_auc	0.627829081632653	
neighborhood	lp	cp_hk_twitter	cp_hk_twitter	2750	roc_auc	0.5680880102040816	
neighborhood	lp	cp_hk_twitter	facebook_page_reference	2750	roc_auc	0.5728803571428571	
neighborhood	lp	facebook_page_reference	ukr_rus_twitter	5750	roc_auc	0.6892260204081633	
neighborhood	lp	facebook_page_reference	covid19_twitter	5750	roc_auc	0.7333109693877551	
neighborhood	lp	facebook_page_reference	midterm	5750	roc_auc	0.5877673469387755	
neighborhood	lp	facebook_page_reference	twibot20	5750	roc_auc	0.7264107142857142	
neighborhood	lp	facebook_page_reference	cp_hk_twitter	5750	roc_auc	0.5272849489795919	
neighborhood	lp	facebook_page_reference	facebook_page_reference	5750	roc_auc	0.6540987244897959	
